id,object_name,address,chain,object_type,number
11814,BEVERLY FALAFEL,8508 W 3RD ST,FALSE,Restaurant,31
11815,KRISPY KRUNCHY CHICKEN - ALVARADO,600 S ALVARADO ST STE 111C,TRUE,Restaurant,15
11816,CAFE 153,1125 3/4 WALL ST,FALSE,Restaurant,5
11817,DUNES RESTAURANT,5625 W SUNSET BLVD,TRUE,Restaurant,118
11818,THE FOUNDATION CENTER,11633 S WESTERN AVE,FALSE,Restaurant,182
11819,ONO HAWAIIAN BBQ,5539 W SUNSET BLVD,TRUE,Restaurant,35
11820,MUSH BAKERY,5224 W SUNSET BLVD,TRUE,Bakery,15
11821,REGGIE'S DELI & CAFE,1910 W SUNSET BLVD STE 150,TRUE,Restaurant,1
11822,HOT THAI RESTAURANT,416 S SAN VICENTE BLVD,TRUE,Restaurant,19
11823,WABA GRILL,7109 W SUNSET BLVD,TRUE,Restaurant,49
11824,THANK YOU FOR COMING,3416 GLENDALE BLVD,FALSE,Restaurant,13
11825,TROPICAL FRUITS & JUICES,5729 N FIGUEROA ST,FALSE,Restaurant,14
11826,SUBWAY -52105,255 S GRAND AVE STE 101,TRUE,Fast Food,37
11827,IHOP,7006 W SUNSET BLVD,TRUE,Restaurant,158
11828,PANDA EXPRESS #2596,1544 S LA CIENEGA BLVD,TRUE,Fast Food,22
11829,GOLDEN INDIAN GRILL,5954 W PICO BLVD,FALSE,Restaurant,18
11830,LA MONARCA BAKERY,5835 N FIGUEROA ST,TRUE,Bakery,35
11831,LAXSUL COMPANY,380 WORLD WAY LVL6 SP5,FALSE,Restaurant,45
11832,THE COUNTER SPACE 7C,700 WORLD WAY,TRUE,Restaurant,20
11833,KALBIS KOREAN GRILL,11102 W OLYMPIC BLVD,FALSE,Restaurant,33
11834,TOGO'S,505 S FLOWER ST STE #B420,TRUE,Restaurant,28
11835,AFC SUSHI AT WALGREENS #1527,1501 N VINE ST,FALSE,Restaurant,8
11836,JACKY'S RESTAURANT,310 W 5TH ST #102,TRUE,Restaurant,27
11837,CALIFORNIA MEXICAN GRILL,11106 W OLYMPIC BLVD,FALSE,Restaurant,13
11838,DOLCINI CAFFEE EXPRESSO,619 S GRAND AVE,FALSE,Fast Food,10
11839,PRIME GRIND COFFEE,714 W 1ST ST,FALSE,Cafe,4
11840,ETCHEA,254 S HOPE ST,FALSE,Restaurant,4
11841,RALPHS MARKET #206,5429 HOLLYWOOD BLVD,FALSE,Restaurant,22
11842,LOTERIA GRILL SPACE 7C,700 WORLD WAY,FALSE,Restaurant,17
11843,HOY'S WOK,7105 W SUNSET BLVD,FALSE,Restaurant,35
11844,BASE COAT -JUICE BAR,704 MATEO ST,TRUE,Bar,2
11845,WAX PAPER,2902 KNOX AVE,FALSE,Restaurant,2
11846,RENAISSANCE 96TH STREET BISTRO,9620 AIRPORT BLVD,FALSE,Restaurant,184
11847,KIKKA @ ARCO PLAZA,505 S FLOWER ST # B-270,TRUE,Restaurant,21
11848,ROLLING STONE SPACE 7C,700 WORLD WAY,FALSE,Restaurant,33
11849,J & F ICE CREAM SHOP,1703 MARIACHI PLZ,FALSE,Restaurant,17
11850,DONUT FACTORY,2225 N SAN FERNANDO RD,FALSE,Fast Food,31
11851,JOHNNIE'S NEW YORK PIZZA,505 S FLOWER ST # B300F,TRUE,Pizza,24
11852,EAGLE ROCK BREWERY,3056 ROSWELL ST,TRUE,Restaurant,16
11853,DONUT STAR,4102 VERDUGO RD,TRUE,Fast Food,24
11854,ROSE GARDEN CAFE,5930 FRANKLIN AVE,TRUE,Restaurant,66
11855,MRS FIELD'S COOKI #426,505 S FLOWER ST,FALSE,Restaurant,11
11856,SHIN KANG SEO MYUN OAK,3250 W OLYMPIC BLVD #313,FALSE,Restaurant,16
11857,MCDONALD'S #2084,3124 N SAN FERNANDO RD,TRUE,Fast Food,112
11858,PLANCHA TACOS,2024 PACIFIC AVE,FALSE,Fast Food,40
11859,BLD,700 WORLD WAY # 7C,TRUE,Restaurant,21
11860,NOODLE PLUS,3250 W OLYMPIC BLVD STE 309,FALSE,Restaurant,25
11861,VNS CHICKEN,3250 W OLYMPIC BLVD STE 105,FALSE,Restaurant,29
11862,CELESTE,535 S GRAND AVE,FALSE,Restaurant,11
11863,800  DEGREES NEAPOLITAN PIZZERIA,1539 N VINE ST,FALSE,Restaurant,122
11864,CHOCOLATE BAR,1635 N VINE ST,FALSE,Bar,3
11865,KETTLE GLAZED DONUTS,6211 FRANKLIN AVE,FALSE,Fast Food,18
11866,LOCALI,5825 FRANKLIN AVE,TRUE,Restaurant,27
11867,MS DONUTS,1353 GLENDALE BLVD,FALSE,Fast Food,28
11868,SUBWAY #39685,704 W 1ST ST,TRUE,Fast Food,3
11869,LEMONADE RESTAURANT,505 S FLOWER ST # B-15,TRUE,Restaurant,45
11870,KOREAN AIR/ SKYTEAM LOUNGE,380 WORLD WAY S4,FALSE,Restaurant,219
11871,LA SIRENA RESTAURANT,4226 E OLYMPIC BLVD,TRUE,Restaurant,63
11872,JACK IN THE BOX # 335,2521 PASADENA AVE,TRUE,Restaurant,121
11873,FOOD PICNIC DAY,3250 W OLYMPIC BLVD STE 311,TRUE,Restaurant,20
11874,BOLT,5648 HOLLYWOOD BLVD,FALSE,Restaurant,45
11875,JIN RESTAURANT,3250 W OLYMPIC BLVD STE 310,TRUE,Restaurant,15
11876,CANTINA LOREDO,380 WORLD WAY # T81,FALSE,Restaurant,31
11877,QANTAS AIRWAYS LOUNGE,380 WORLD WAY 5TH FLR,FALSE,Restaurant,163
11878,LOS BALCONES DEL PERU,1360 N VINE ST,FALSE,Restaurant,33
11879,TACOMIENDO,11462 GATEWAY BLVD,FALSE,Fast Food,1
11880,THE SEMI-TROPIC,1412 N GLENDALE BLVD,FALSE,Restaurant,112
11881,SLAPFISH,200 WORLD WAY # 225,FALSE,Restaurant,38
11882,CELAYA BAKERY,1630 W SUNSET BLVD,TRUE,Bakery,16
11883,K-BAKERY,1258 W TEMPLE ST,TRUE,Bakery,6
11884,LOS PINITOS NUEVOS BAKERY,1154 S LORENA ST,TRUE,Bakery,4
11885,JAPAN HOUSE LA 2ND FLOOR,6801 HOLLYWOOD BLVD #213 -221,FALSE,Restaurant,28
11886,SHAKE SHACK,6201 HOLLYWOOD BLVD,TRUE,Restaurant,3
11887,JOHNNY ROCKETS,6801 HOLLYWOOD BLVD STE 325,TRUE,Restaurant,40
11888,CIVIL COFFEE,5629 N FIGUEROA ST,FALSE,Cafe,17
11889,MCDONALD'S # 10129,245 N SOTO ST,TRUE,Fast Food,88
11890,BARNEY'S BEANERY,200 WORLD WAY # 240,FALSE,Bar,75
11891,GREENLEAF CHOP SHOP,6201 HOLLYWOOD BLVD # 120,FALSE,Restaurant,131
11892,ZANKOU CHICKEN,7851 W SUNSET BLVD,TRUE,Restaurant,40
11893,ADMIRALS CLUB,400 WORLD WAY,FALSE,Restaurant,118
11894,JINYA RAMEN EXPRESS,6801 HOLLYWOOD BLVD # 315,FALSE,Fast Food,6
11895,JIM'S BURGERS,915 S SOTO ST,TRUE,Fast Food,42
11896,AA REGIONAL ADMIRAL'S CLUB,6022 AVION DR,FALSE,Restaurant,32
11897,L.A.A.C.-8TH FLOOR SNACK BAR,431 W 7TH ST,FALSE,Bar,4
11898,DER WIENERSCHNITZEL #20,5215 N FIGUEROA ST,TRUE,Restaurant,19
11899,STREET LEVEL CAFE,1166 GLENDALE BLVD,FALSE,Restaurant,24
11900,CAFE SOLAR,6224 W MANCHESTER AVE LOS,FALSE,Restaurant,37
11901,DELICIAS BAKERY AND SOME,5567 N FIGUEROA ST,TRUE,Bakery,5
11902,TUTTI FRUTTI,312 E 11TH ST,TRUE,Restaurant,9
11903,MELODY PIZZA,9146 S SEPULVEDA BLVD,FALSE,Pizza,5
11904,SUBWAY #14183,508 W 7TH ST,TRUE,Fast Food,4
11905,JACK IN THE BOX # 3348,1710 GLENDALE BLVD,TRUE,Restaurant,128
11906,AFTERS ICE CREAM,5711 N FIGUEROA ST,FALSE,Restaurant,14
11907,ANTIGUA CULTURAL COFFEE,3400 N FIGUEROA ST,FALSE,Cafe,24
11908,TRASTEVERE RESTAURANT,6801 HOLLYWOOD BLVD STE 423,TRUE,Restaurant,224
11909,MARIE'S COFFEE AND DELI,731 W 7TH ST,TRUE,Cafe,36
11910,LA BARBACHA,2510 E CESAR E CHAVEZ AVE,FALSE,Bar,12
11911,THE HARVEST BAR 2,8601 LINCOLN BLVD STE 190,FALSE,Bar,26
11912,KABAN PERSIAN RESTAURANT,3250 CAHUENGA BLVD W,TRUE,Restaurant,6
11913,WESTIN LAKEVIEW BISTRO,404 S FIGUEROA ST LBBY LOBBY,FALSE,Restaurant,200
11914,ADMIRALS CLUB,500 WORLD WAY,FALSE,Restaurant,205
11915,THE FAT DOG,801 N FAIRFAX AVE STE #107,FALSE,Restaurant,71
11916,ANGELINI ALIMENTARI,7317 BEVERLY BLVD,TRUE,Restaurant,11
11917,CAFE SOLAR KITCHEN,6228 3/4 W MANCHESTER AVE,FALSE,Restaurant,14
11918,CORAL FISH,6357 WILSHIRE BLVD,FALSE,Restaurant,7
11919,YANUSA SUSHI RESTAURANT,2740 W OLYMPIC BLVD,TRUE,Restaurant,23
11920,JOLLIBEE,2700 COLORADO BLVD STE 105,FALSE,Restaurant,43
11921,MALIBU FISH GRILL,8000 W SUNSET BLVD # A120,TRUE,Restaurant,107
11922,THE VEGGIE GRILL,8000 W SUNSET BLVD # 112,TRUE,Restaurant,134
11923,ASHLAND BAR EARTH BAR / PANDA EXPRESS ASHLAND HILL,300 WORLD WAY # 329,TRUE,Fast Food,25
11924,CARL'S JR,308 WESTWOOD PLZ 505,TRUE,Restaurant,37
11925,KIKKA SUSHI,308 WESTWOOD PLZ # A233B,TRUE,Restaurant,1
11926,PIZZA HUT #26158,4356 LEIMERT BLVD,TRUE,Pizza,16
11927,EL CONDOR,3701 W SUNSET BLVD,FALSE,Restaurant,107
11928,MICROSOFT THEATER,777 W CHICK HEARN CT,FALSE,Restaurant,21
11929,MILLI'S CAFE,3528 W SUNSET BLVD,FALSE,Restaurant,8
11930,BEUL,3819 W 6TH ST,FALSE,Restaurant,33
11931,BORDER GRILL,380 WORLD WAY T38,FALSE,Restaurant,73
11932,CLIFFS,3626 W SUNSET BLVD,FALSE,Restaurant,62
11933,WH POKE BAR INC.,6215 TOPANGA CANYON BLVD,TRUE,Bar,20
11934,JAM,3981 W 6TH ST,FALSE,Restaurant,40
11935,JAMBA JUICE #527,2919 LOS FELIZ BLVD STE 2,TRUE,Restaurant,21
11936,PANDA EXPRESS #1212,5543 W SUNSET BLVD,TRUE,Fast Food,45
11937,MARISCOS EL CAMARON PELADO RESTAURANT,2676 PASADENA AVE,TRUE,Restaurant,40
11938,FRESH AND MEATY BURGERS,3016 W FLORENCE AVE,FALSE,Fast Food,24
11939,HAYATO,1320 E 7TH ST # 126,FALSE,Restaurant,2
11940,INK SACK,380 WORLD WAY T48,TRUE,Restaurant,20
11941,MILLIE'S COFFEE SHOP,3524 W SUNSET BLVD,FALSE,Cafe,22
11942,ANDANTE COFFEE ROASTERS,2201 W SUNSET BLVD,TRUE,Cafe,4
11943,LA AZTECA TORTILLERIA & RESTAURANT,4538 E CESAR E CHAVEZ AVE,TRUE,Restaurant,26
11944,THE PORTER JUNCTION CAFE,2350 PORTER ST,FALSE,Restaurant,28
11945,RESTAURANTE EL QUETZALITO,5406 S NORMANDIE AVE,TRUE,Restaurant,17
11946,GUSHI,978 GAYLEY AVE,FALSE,Restaurant,18
11947,CARLS JR #212,1751 S SOTO ST,FALSE,Restaurant,140
11948,SUBWAY #12484,5339 W CENTINELA AVE STE #A,TRUE,Fast Food,24
11949,DONUT FARM,2609 W SUNSET BLVD,FALSE,Fast Food,8
11950,PUPUSERIA CUSCATLAN,608 E 59TH ST,FALSE,Restaurant,4
11951,SAWYER,3705 SUNSET BLVD,FALSE,Restaurant,6
11952,AHIPOKI BOWL,5553 W SUNSET BLVD # 101,FALSE,Restaurant,12
11953,COGNOSCENTI COFFEE,1118 SAN JULIAN ST,TRUE,Cafe,21
11954,HANNAM CHAIN SNACK BAR,2740 W OLYMPIC BLVD,FALSE,Bar,20
11955,HUNGRY HAROLD'S,3453 W SLAUSON AVE,FALSE,Restaurant,15
11956,PEKING DUMPLING,2740 W OLYMPIC BLVD,FALSE,Restaurant,8
11957,MYUNG GA JJAM BONG,2740 W OLYMPIC BLVD # 4,FALSE,Restaurant,23
11958,YOSHINOYA #1147,3959 WILSHIRE BLVD STE A3-A5,TRUE,Restaurant,35
11959,"THIRTEEN SINCE 2017, INC.",2500 W 8TH ST # 108,FALSE,Restaurant,79
11960,MARISCOS EL JATO,2936 E 4TH ST,FALSE,Restaurant,70
11961,THE ORCHARD,11444 W OLYMPIC BLVD,FALSE,Restaurant,225
11962,MASHTI ICE CREAM,1525 N LA BREA AVE,FALSE,Restaurant,16
11963,PACIFIC DINING CAR,1310 W 6TH ST,FALSE,Restaurant,149
11964,TACO BELL #3141,1408 W CENTURY BLVD,TRUE,Fast Food,5
11965,LE BALCON BAKERY,1523 LA BREA AVE,TRUE,Bakery,2
11966,FOOD 4 LESS #362,5420 W SUNSET BLVD,TRUE,Restaurant,21
11967,MAYTES JUGOS & RASPADOS,1300 SOTO ST STE 9,FALSE,Restaurant,13
11968,SUBWAY #1763,3959 WILSHIRE BLVD STE B-7,TRUE,Fast Food,17
11969,IHOP #782,8600 S SEPULVEDA BLVD # #0000,TRUE,Restaurant,133
11970,HONG KONG RESTAURANT,5122 WHITTIER BLVD,TRUE,Restaurant,44
11971,PIZZA HUT #26178,3959 WILSHIRE BLVD STE B-11,TRUE,Pizza,7
11972,BAMBO GARDEN,8844 S VERMONT AVE,FALSE,Restaurant,19
11973,BASIC,3372 W 8TH ST,FALSE,Restaurant,118
11974,SONSONATE GRILL,5011 S WESTERN AVE,FALSE,Restaurant,100
11975,OPERA HOUSE BAKERY,833 S WESTERN AVE 38,TRUE,Bakery,23
11976,COCO FRESH TEA AND JUICE,3470 W 6TH ST # 2B,TRUE,Restaurant,23
11977,ALVAREZ BAKERY,4125 CITY TERRACE DR,TRUE,Bakery,3
11978,CEMITAS POBLANAS MI MAGDALENA RESTAURANT #2,3049 E 4TH ST,TRUE,Restaurant,43
11979,SAN SALVADOR,1828 S VERMONT AVE,FALSE,Restaurant,221
11980,THE RAMEN JOINT,6220 W 87TH ST,FALSE,Restaurant,11
11981,PAPER TIGER,4574 BEVERLY BLVD,FALSE,Restaurant,43
11982,TOMMY TACO,970 GAYLEY AVE,FALSE,Fast Food,12
11983,BIG MAMA'S DONUTS,5409 N FIGUEROA ST,FALSE,Fast Food,8
11984,SUPER A FOODS,2925 DIVISION ST,TRUE,Restaurant,15
11985,FOOD 4 LESS #777,1820 W SLAUSON AVE,TRUE,Restaurant,15
11986,BONAVENTURE BREWING CO REST,404 S FIGUEROA ST STE 418A,FALSE,Restaurant,157
11987,TACOSWAY,7980 SUNSET BLVD,FALSE,Fast Food,11
11988,OCHA RESTAURANT,5405 W SUNSET BLVD,TRUE,Restaurant,34
11989,A PLACE CALLED HOME,2830 S CENTRAL AVE,FALSE,Restaurant,14
11990,SAN JUAN HUCTZINCO PANADERIA Y PIZZERIA,3017 WABASH AVE,FALSE,Restaurant,6
11991,POLLO CAMPERO,1890 W SLAUSON AVE,TRUE,Restaurant,123
11992,HOTEL NORMANDIE,605 S NORMANDIE AVE,FALSE,Restaurant,45
11993,CLIFTON'S CAFETERIA,648 S BROADWAY,FALSE,Restaurant,2
11994,VAN BAKERY,5409 W SUNSET BLVD,TRUE,Bakery,10
11995,GOURMENT LA BAKERY,548 S BROADWAY,TRUE,Bakery,27
11996,KAI RAMEN,349 N LA CIENEGA BLVD,FALSE,Restaurant,35
11997,SHARKY'S WOODFIRED MEXICAN GRILL,1716 N CAHUENGA BLVD,FALSE,Restaurant,138
11998,REYNAS PUPUSERIA #3,5901 S NORMANDIE AVE,FALSE,Restaurant,22
11999,MAHI MAHI,6122 W SUNSET BLVD,FALSE,Restaurant,49
12000,CURRY HOUSE COCOICHIBANYA,3500 W 6TH ST # 110,TRUE,Restaurant,44
12001,LOUISIANA FRIED CHICKEN #4050,4050 CRENSHAW BLVD,TRUE,Restaurant,27
12002,THE VILLAGE IDIOT,7383 MELROSE AVE,FALSE,Restaurant,116
12003,TOKYO HAMBURG,600 S NEW HAMPSHIRE AVE # F1,FALSE,Restaurant,108
12004,AL BASCH CHICKEN,7311 W SUNSET BLVD,FALSE,Restaurant,23
12005,SKAI CAFE,1159 S VERMONT AVE,FALSE,Restaurant,71
12006,D ADDICTION,1032 S WESTERN AVE,FALSE,Restaurant,122
12007,KITCHEN SOODA,618 S SERRANO AVE,FALSE,Restaurant,85
12008,NAM KOONG,3514 W 8TH ST,FALSE,Restaurant,44
12009,HAPPY NOODLE,833 S WESTERN AVE STE 41,FALSE,Restaurant,41
12010,WESTIN BONAVENTURE LA PRIME,404 S FIGUEROA ST 35TH,FALSE,Restaurant,155
12011,SKY'S TACOS,5408 W PICO BLVD,FALSE,Fast Food,37
12012,HERE'S LOOKING AT YOU,3901 W 6TH ST # A,FALSE,Restaurant,14
12013,LA MORENITA LUNCH BOR,1320 LA PUERTA ST,FALSE,Restaurant,27
12014,SHERATON HOTEL,6101 W CENTURY BLVD,TRUE,Restaurant,46
12015,LA CABANA,2931 E 4TH ST,FALSE,Restaurant,48
12016,DIVISION 3,3329 DIVISION ST,FALSE,Restaurant,21
12017,"TEUM RESTAURANT, INC.",3526 W 8TH ST,TRUE,Restaurant,77
12018,AFC SUSHI @ RALPH'S #39,260 S LA BREA AVE,FALSE,Restaurant,16
12019,PIZZA BELLA,1900 N HIGHLAND AVE,FALSE,Pizza,13
12020,DONA INEZ RESTAURANTE TU COCINA MEXICANA,847 SANTEE ST,TRUE,Restaurant,6
12021,MOMOTA RAMEN HOUSE,4003 WILSHIRE BLVD STE I,TRUE,Restaurant,21
12022,EL DORADO BOWLERO,8731 LINCOLN BLVD,FALSE,Restaurant,123
12023,OLYMPIC CAFE HOUSE OF BKFST,3728 W OLYMPIC BLVD,FALSE,Restaurant,5
12024,FALAFEL CORNER,698 S IROLO ST STE #103,FALSE,Restaurant,29
12025,DOWNTOWN FATBURGER,888 S FIGUEROA ST,TRUE,Fast Food,15
12026,DOREEN'S TROPICAL FRUITS,102 W 7TH ST,FALSE,Restaurant,4
12027,CAFE SUGAR,2735 W TEMPLE ST,FALSE,Restaurant,111
12028,BRASS MONKEY INC,659 S MARIPOSA AVE,FALSE,Restaurant,143
12029,DELI IN,3456 1/2 WILSHIRE BLVD,TRUE,Restaurant,19
12030,DELICIOUS PIZZA SUNSET BLVD.,6601 SUNSET BLVD,TRUE,Pizza,14
12031,PIZZA ITALIA,311 W 7TH ST,FALSE,Pizza,11
12032,GENTARO SOBA,735 S FIGUEROA ST #127,FALSE,Restaurant,6
12033,JACK IN THE BOX #3393,4290 E OLYMPIC BLVD,TRUE,Restaurant,45
12034,PIZZA NEXT DOOR,806 W 8TH ST # B,FALSE,Pizza,3
12035,FRATERNAL ORDER OF EAGLES,13018 W WASHINGTON BLVD,FALSE,Restaurant,96
12036,GELSON'S MARKET,5877 FRANKLIN AVE,FALSE,Restaurant,13
12037,MEDUSA LOUNGE,3211 BEVERLY BLVD,FALSE,Restaurant,146
12038,TAMARIND OF L.A.,934 S LOS ANGELES ST # 9,FALSE,Restaurant,11
12039,STELLA BARRA PIZZERIA,6372 N SUNSET BLVD,FALSE,Bar,97
12040,DOLCINI CAFFE ESPRESSO,865 S FIGUEROA ST,FALSE,Restaurant,5
12041,SUBWAY,1205 W 3RD ST,TRUE,Fast Food,14
12042,YOOGANE DUMPLING,698 S IROLO ST STE #111,FALSE,Restaurant,23
12043,B TWENTY FOUR,2223 N BROADWAY,FALSE,Restaurant,15
12044,LATINA,3125 W 8TH ST,FALSE,Restaurant,6
12045,SPRING ST. BAR,626 S SPRING ST STE B,FALSE,Bar,129
12046,ARADO JAPANESE RESTAURANT,4001 WILSHIRE BLVD STE A,TRUE,Restaurant,49
12047,COFFEE HOUSE 1,320 W 4TH ST,FALSE,Cafe,79
12048,DOOMIE'S HOME COOKIN',1253 N VINE ST STE #9,FALSE,Restaurant,46
12049,LATIN FUSION,6801 HOLLYWOOD BLVD # 419,FALSE,Restaurant,77
12050,DANTE'S CAFE,2745 BEVERLY BLVD,FALSE,Restaurant,8
12051,LUCKY STRIKE HOLLYWOOD,6801 HOLLYWOOD BLVD STE #143,FALSE,Restaurant,1
12052,THAI COCONUT RESTAUARNT,1801 COLORADO BLVD,FALSE,Restaurant,46
12053,THE HEIGHTS DELI AND BOTTLE SHOP,2927 N BROADWAY,TRUE,Restaurant,11
12054,LE CAFE BONJOUR,640 S HILL ST # S4,TRUE,Restaurant,18
12055,EL DORADO EXPRESS,5144 E BEVERLY BLVD,FALSE,Fast Food,5
12056,WIENERSCHNITZEL #114,3619 W OLYMPIC BLVD,FALSE,Restaurant,27
12057,COMMERSON,736 S LA BREA AVE,FALSE,Restaurant,124
12058,HASHTAG COFFEE & TEA,227 W 8TH ST,FALSE,Cafe,19
12059,CAMPOS TACOS,13322 W WASHINGTON BLVD,TRUE,Fast Food,18
12060,THE DOLLY LLAMA,611 SPRING ST,FALSE,Restaurant,16
12061,A CAFE,4001 WILSHIRE BLVD STE B,FALSE,Restaurant,40
12062,XIOMARA ON MELROSE,6101 MELROSE AVE,FALSE,Restaurant,130
12063,SOL-LIP TOFU,414 S WESTERN AVE STE S,FALSE,Restaurant,91
12064,STAR KARAOKE,601 S ARDMORE AVE # 200,TRUE,Restaurant,79
12065,VANESSA'S BAKERY,2747 BEVERLY BLVD,TRUE,Bakery,22
12066,TOMS JUNIOR BURGERS,245 E EL SEGUNDO BLVD,FALSE,Fast Food,43
12067,LA CARRETA,4538 1/2 E CESAR E CHAVEZ AVE,FALSE,Restaurant,14
12068,TACOS CHAPALITA,2929 1/2 N BROADWAY,FALSE,Fast Food,19
12069,RALPHS MARKET #39,260 S LA BREA AVE,FALSE,Restaurant,4
12070,SACRED HEART CAFETERIA,2111 GRIFFIN AVE,FALSE,Restaurant,29
12071,WORLD WIDE TACOS,2419 W MLK BLVD,FALSE,Fast Food,1
12072,BILLY CAFE,607 S HILL ST ARCA 5,FALSE,Restaurant,26
12073,MINI SNACK,245 E 5TH ST # 9,FALSE,Restaurant,20
12074,THE OINKSTER,2005 COLORADO BLVD,TRUE,Restaurant,37
12075,PIZZA STUDIO,735 S FIGUEROA ST # 115,TRUE,Pizza,12
12076,WAYPOINT KITCHEN,6151 W CENTURY BLVD,FALSE,Restaurant,118
12077,CASITA TACO AL CARBON  #3,609 S SPRING ST,FALSE,Fast Food,29
12078,OB BEAR RESTAURANT,3002 1/2 W 7TH ST,TRUE,Restaurant,109
12079,ONDAL 2,4566 W WASHINGTON BLVD,FALSE,Restaurant,109
12080,CAFE DELI E PARK CENTRAL BLD,412 W 6TH ST STE 101,TRUE,Restaurant,13
12081,QWENCH 9TH AND FLOWER,645 W 9TH ST STE 109,FALSE,Restaurant,15
12082,ROCK N FISH,800 W OLYMPIC BLVD STE A160,TRUE,Restaurant,182
12083,DK DONERKING,6756 HOLLYWOOD BLVD,FALSE,Restaurant,48
12084,SIMPLY SALAD,11726 SAN VICENTE BLVD # 150,TRUE,Restaurant,44
12085,WASABI JAPANESE NOODLE HOUSE,3444 WILSHIRE BLVD,FALSE,Restaurant,44
12086,MALI HOM,3446 WILSHIRE BLVD,FALSE,Restaurant,85
12087,IL BAMBINO RESTAURANT,1403 HOOPER AVE,TRUE,Restaurant,18
12088,CAPTAIN LEE'S SEAFOOD,404 S FIGUEROA ST STE 401-B,TRUE,Restaurant,10
12089,DR .SEBI'S  CELLFOOD,8588 VENICE BLVD,TRUE,Restaurant,23
12090,SUBWAY #23131,908 S SANTEE ST,TRUE,Fast Food,24
12091,RUSTY MULLET,1708 N LAS PALMAS AVE,FALSE,Restaurant,46
12092,FRENCH BISTRO,1216 1/2 S SANTEE ST,FALSE,Restaurant,24
12093,HAPPY NOODLE CO,3458 1/2 WILSHIRE BLVD,FALSE,Restaurant,3
12094,TREJO'S TACOS,1556 N CAHUENGA BLVD,TRUE,Fast Food,81
12095,THE VEGGIE GRILL,6374 W SUNSET BLVD STE #A,TRUE,Restaurant,69
12096,SALATA ON FLOWER,505 S FLOWER ST STE B430,TRUE,Restaurant,39
12097,KENTUCKY FRIED CHICKEN,320 N SOTO ST,TRUE,Fast Food,25
12098,BARISTA SOCIETY,300 S GRAND AVE LP 155,TRUE,Bar,12
12099,PAYLESS FOODS MKT,620 E EL SEGUNDO BLVD,TRUE,Restaurant,5
12100,PRONTO CAFFE & TEA,3530 WILSHIRE BLVD STE 102,FALSE,Restaurant,41
12101,CORAL REEF RESTAURANT,3200 GLENDALE BLVD,TRUE,Restaurant,117
12102,DELICIOUS TOGETHER,859 SANTEE ST,TRUE,Restaurant,13
12103,THAI FANTASY,5900 MONTEREY RD,FALSE,Restaurant,28
12104,VILLAGE TAVERN,3216 GLENDALE BLVD,FALSE,Restaurant,100
12105,EL POLLO LOCO #5322,1224 S SOTO ST,TRUE,Restaurant,48
12106,BLACK MAGIC COFFEE,2415 E CESAR CHAVEZ AVE,FALSE,Cafe,5
12107,CATHEDRAL HIGH SCH CAFETERIA,1253 BISHOPS RD,FALSE,Restaurant,8
