user_id,tariff_plan,date_start
167729,C,2019-09-26
167630,C,2019-09-24
166408,C,2019-08-02
166574,C,2019-08-09
168317,C,2019-10-21
167571,C,2019-09-20
167641,C,2019-09-24
166629,C,2019-08-12
168271,C,2019-10-18
167535,C,2019-09-19
167781,C,2019-09-30
167598,C,2019-09-23
166869,C,2019-08-22
167660,C,2019-09-24
167545,C,2019-09-19
166729,C,2019-08-16
167691,C,2019-09-25
167682,C,2019-09-25
167039,C,2019-08-29
167466,C,2019-09-17
167672,C,2019-09-25
167664,C,2019-09-24
167650,C,2019-09-24
167567,C,2019-09-20
167644,C,2019-09-24
167618,C,2019-09-23
167744,C,2019-09-27
167861,C,2019-10-03
167370,C,2019-09-13
167408,C,2019-09-16
166585,C,2019-08-09
167683,C,2019-09-25
167506,C,2019-09-18
166874,C,2019-08-22
167643,C,2019-09-24
167627,C,2019-09-24
167455,C,2019-09-17
167533,C,2019-09-19
167532,C,2019-09-19
166688,C,2019-08-15
167209,C,2019-09-06
167526,C,2019-09-19
167456,C,2019-09-17
167494,C,2019-09-18
167500,C,2019-09-18
167159,C,2019-09-04
167430,C,2019-09-16
167482,C,2019-09-18
167450,C,2019-09-17
167488,C,2019-09-18
167434,C,2019-09-16
167016,C,2019-08-28
167001,C,2019-08-28
167195,C,2019-09-05
167425,C,2019-09-16
166645,C,2019-08-13
166397,C,2019-08-01
166881,C,2019-08-22
167107,C,2019-09-02
167382,C,2019-09-13
167199,C,2019-09-05
167252,C,2019-09-09
167277,C,2019-09-10
167031,C,2019-08-29
167059,C,2019-08-29
166631,C,2019-08-12
167272,C,2019-09-10
167286,C,2019-09-10
167210,C,2019-09-06
167200,C,2019-09-06
167192,C,2019-09-05
167235,C,2019-09-09
167242,C,2019-09-09
167246,C,2019-09-09
167188,C,2019-09-05
167019,C,2019-08-28
167109,C,2019-09-02
167150,C,2019-09-04
167162,C,2019-09-04
166889,C,2019-08-22
167143,C,2019-09-04
166985,C,2019-08-27
167079,C,2019-08-30
167052,C,2019-08-29
166726,C,2019-08-16
166833,C,2019-08-21
167102,C,2019-09-02
166617,C,2019-08-12
166917,C,2019-08-23
166938,C,2019-08-26
166983,C,2019-08-27
166973,C,2019-08-27
167003,C,2019-08-28
166836,C,2019-08-21
167030,C,2019-08-29
166812,C,2019-08-20
167034,C,2019-08-29
167014,C,2019-08-28
166974,C,2019-08-27
166868,C,2019-08-22
166679,C,2019-08-14
166575,C,2019-08-09
167035,C,2019-08-29
166918,C,2019-08-23
166460,C,2019-08-05
166396,C,2019-08-01
166703,C,2019-08-15
166835,C,2019-08-21
166604,C,2019-08-12
166792,C,2019-08-19
166767,C,2019-08-19
166979,C,2019-08-27
166959,C,2019-08-26
166926,C,2019-08-23
166621,C,2019-08-12
166708,C,2019-08-15
166745,C,2019-08-16
166744,C,2019-08-16
166717,C,2019-08-16
166803,C,2019-08-20
166511,C,2019-08-06
166677,C,2019-08-14
166636,C,2019-08-12
166691,C,2019-08-15
166566,C,2019-08-08
166671,C,2019-08-14
166491,C,2019-08-06
166649,C,2019-08-13
166573,C,2019-08-09
166392,C,2019-08-01
166520,C,2019-08-07
166555,C,2019-08-08
166540,C,2019-08-07
166410,C,2019-08-02
166497,C,2019-08-06
166468,C,2019-08-05
166373,C,2019-08-01
166387,C,2019-08-01
166876,C,2019-08-22
166903,C,2019-08-23
166388,C,2019-08-01
167933,C,2019-10-07
168466,C,2019-10-28
167721,C,2019-09-26
167473,C,2019-09-18
167568,C,2019-09-20
167440,C,2019-09-17
168366,C,2019-10-23
168119,C,2019-10-14
168093,C,2019-10-14
167994,C,2019-10-09
167905,C,2019-10-04
167690,C,2019-09-25
167301,C,2019-09-11
166773,C,2019-08-19
167553,C,2019-09-20
167704,C,2019-09-26
167213,C,2019-09-06
167273,C,2019-09-10
167025,C,2019-08-28
166761,C,2019-08-19
166692,C,2019-08-15
166644,C,2019-08-13
166655,C,2019-08-13
166391,C,2019-08-01
168488,C,2019-10-28
167837,C,2019-10-02
167112,C,2019-09-02
167613,C,2019-09-23
167220,C,2019-09-06
167042,C,2019-08-29
166652,C,2019-08-13
166424,C,2019-08-02
166376,C,2019-08-01
167407,C,2019-09-16
167507,C,2019-09-18
167510,C,2019-09-19
167282,C,2019-09-10
167244,C,2019-09-09
168013,C,2019-10-09
168077,C,2019-10-11
167227,C,2019-09-06
167053,C,2019-08-29
167011,C,2019-08-28
167759,C,2019-09-27
166900,C,2019-08-23
167446,C,2019-09-17
167318,C,2019-09-11
167245,C,2019-09-09
166902,C,2019-08-23
166469,C,2019-08-05
166505,C,2019-08-06
166965,C,2019-08-27
166584,C,2019-08-09
166490,C,2019-08-06
166545,C,2019-08-08
166412,C,2019-08-02
167830,C,2019-10-02
167647,C,2019-09-24
167189,C,2019-09-05
167125,C,2019-09-03
166507,C,2019-08-06
166666,C,2019-08-14
166936,C,2019-08-26
166390,C,2019-08-01
166727,C,2019-08-16
167819,C,2019-10-01
166398,C,2019-08-01
166579,C,2019-08-09
166693,C,2019-08-15
166399,C,2019-08-01
166957,C,2019-08-26
167474,C,2019-09-18
166375,C,2019-08-01
167645,C,2019-09-24
167051,C,2019-08-29
167160,C,2019-09-04
167144,C,2019-09-04
167129,C,2019-09-03
167113,C,2019-09-02
167663,C,2019-09-24
166946,C,2019-08-26
166908,C,2019-08-23
166955,C,2019-08-26
166993,C,2019-08-28
166842,C,2019-08-21
167263,B,2019-09-10
167657,B,2019-09-24
167061,B,2019-08-29
168103,B,2019-10-14
167122,B,2019-09-02
168106,B,2019-10-14
167652,B,2019-09-24
167840,B,2019-10-02
168047,B,2019-10-10
167250,B,2019-09-09
168237,B,2019-10-17
168500,B,2019-10-28
167095,B,2019-08-31
167077,B,2019-08-30
167929,B,2019-10-07
168212,B,2019-10-17
167972,B,2019-10-08
166406,B,2019-08-02
167908,B,2019-10-04
166678,B,2019-08-14
168567,B,2019-10-30
166405,B,2019-08-02
166785,B,2019-08-19
168291,B,2019-10-21
168550,B,2019-10-30
167419,B,2019-09-16
168526,B,2019-10-29
168329,B,2019-10-22
168078,B,2019-10-11
168490,B,2019-10-28
168417,B,2019-10-24
167969,B,2019-10-08
167479,B,2019-09-18
168562,B,2019-10-30
168243,B,2019-10-17
168222,B,2019-10-17
166495,B,2019-08-06
168000,B,2019-10-09
167375,B,2019-09-13
166591,B,2019-08-09
168173,B,2019-10-15
168513,B,2019-10-29
168603,B,2019-10-31
168091,B,2019-10-14
166654,B,2019-08-13
168574,B,2019-10-31
168549,B,2019-10-30
168481,B,2019-10-28
168452,B,2019-10-25
168499,B,2019-10-28
167959,B,2019-10-08
168542,B,2019-10-30
168225,B,2019-10-17
167036,B,2019-08-29
168579,B,2019-10-31
168558,B,2019-10-30
168180,B,2019-10-16
168349,B,2019-10-22
168583,B,2019-10-31
167480,B,2019-09-18
168315,B,2019-10-21
166942,B,2019-08-26
167451,B,2019-09-17
168334,B,2019-10-22
168322,B,2019-10-22
168479,B,2019-10-28
168302,B,2019-10-21
168377,B,2019-10-23
168376,B,2019-10-23
168378,B,2019-10-23
167402,B,2019-09-16
168352,B,2019-10-23
168379,B,2019-10-23
168018,B,2019-10-09
166503,B,2019-08-06
168167,B,2019-10-15
167310,B,2019-09-11
168209,B,2019-10-16
167977,B,2019-10-08
168099,B,2019-10-14
168309,B,2019-10-21
168262,B,2019-10-18
167955,B,2019-10-07
168066,B,2019-10-11
168154,B,2019-10-15
168021,B,2019-10-09
167621,B,2019-09-23
167317,B,2019-09-11
167874,B,2019-10-03
168149,B,2019-10-15
168105,B,2019-10-14
168041,B,2019-10-10
167580,B,2019-09-20
167989,B,2019-10-08
167851,B,2019-10-02
168015,B,2019-10-09
167995,B,2019-10-09
167999,B,2019-10-09
167947,B,2019-10-07
167299,B,2019-09-11
167930,B,2019-10-07
166680,B,2019-08-14
167736,B,2019-09-27
167849,B,2019-10-02
167060,B,2019-08-29
167654,B,2019-09-24
167724,B,2019-09-26
167679,B,2019-09-25
167512,B,2019-09-19
166428,B,2019-08-02
167651,B,2019-09-24
167738,B,2019-09-27
167716,B,2019-09-26
167326,B,2019-09-11
167565,B,2019-09-20
166500,B,2019-08-06
166813,B,2019-08-20
167445,B,2019-09-17
167487,B,2019-09-18
166532,B,2019-08-07
168446,B,2019-10-25
167264,B,2019-09-10
166788,B,2019-08-19
167275,B,2019-09-10
167521,B,2019-09-19
167447,B,2019-09-17
167115,B,2019-09-02
167357,B,2019-09-12
167359,B,2019-09-13
167338,B,2019-09-12
167315,B,2019-09-11
167339,B,2019-09-12
167054,B,2019-08-29
167228,B,2019-09-06
167041,B,2019-08-29
167266,B,2019-09-10
167225,B,2019-09-06
166956,B,2019-08-26
167176,B,2019-09-05
167156,B,2019-09-04
167172,B,2019-09-05
167174,B,2019-09-05
166829,B,2019-08-21
167175,B,2019-09-05
167110,B,2019-09-02
166598,B,2019-08-09
166970,B,2019-08-27
167114,B,2019-09-02
167078,B,2019-08-30
167004,B,2019-08-28
167082,B,2019-08-30
167002,B,2019-08-28
167183,B,2019-09-05
167443,B,2019-09-17
167847,B,2019-10-02
167869,B,2019-10-03
167867,B,2019-10-03
166962,B,2019-08-27
166975,B,2019-08-27
166791,B,2019-08-19
166638,B,2019-08-13
166660,B,2019-08-13
166653,B,2019-08-13
166899,B,2019-08-23
166711,B,2019-08-15
166795,B,2019-08-19
166524,B,2019-08-07
166772,B,2019-08-19
166732,B,2019-08-16
166675,B,2019-08-14
166774,B,2019-08-19
166800,B,2019-08-20
166697,B,2019-08-15
166755,B,2019-08-19
166769,B,2019-08-19
166971,B,2019-08-27
166844,B,2019-08-21
167436,B,2019-09-17
167475,B,2019-09-18
167071,B,2019-08-30
167179,B,2019-09-05
166734,B,2019-08-16
166663,B,2019-08-13
166560,B,2019-08-08
166658,B,2019-08-13
166534,B,2019-08-07
166594,B,2019-08-09
166485,B,2019-08-06
166627,B,2019-08-12
166548,B,2019-08-08
166536,B,2019-08-07
166389,B,2019-08-01
166440,B,2019-08-02
166380,B,2019-08-01
166421,B,2019-08-02
166377,B,2019-08-01
166783,B,2019-08-19
167502,B,2019-09-18
168307,B,2019-10-21
168449,B,2019-10-25
167124,B,2019-09-02
167468,B,2019-09-18
167256,B,2019-09-09
168053,B,2019-10-10
168578,B,2019-10-31
167219,B,2019-09-06
167410,B,2019-09-16
166837,B,2019-08-21
167942,B,2019-10-07
167858,B,2019-10-03
167768,B,2019-09-30
167750,B,2019-09-27
167463,B,2019-09-17
167164,B,2019-09-04
167543,B,2019-09-19
166839,B,2019-08-21
166550,B,2019-08-08
167638,B,2019-09-24
167142,B,2019-09-03
167058,B,2019-08-29
166426,B,2019-08-02
166533,B,2019-08-07
166884,B,2019-08-22
166464,B,2019-08-05
166530,B,2019-08-07
168245,B,2019-10-17
168071,B,2019-10-11
168509,B,2019-10-29
167384,B,2019-09-13
166569,B,2019-08-09
167939,B,2019-10-07
168097,B,2019-10-14
167296,B,2019-09-11
167813,B,2019-10-01
168340,B,2019-10-22
167981,B,2019-10-08
167551,B,2019-09-20
168025,B,2019-10-09
166958,B,2019-08-26
168356,B,2019-10-23
167130,B,2019-09-03
167530,B,2019-09-19
167288,B,2019-09-10
167009,B,2019-08-28
167141,B,2019-09-03
167697,B,2019-09-25
167415,B,2019-09-16
166941,B,2019-08-26
166705,B,2019-08-15
166587,B,2019-08-09
167452,B,2019-09-17
166797,B,2019-08-20
167268,B,2019-09-10
166522,B,2019-08-07
166815,B,2019-08-20
166702,B,2019-08-15
166554,B,2019-08-08
166911,B,2019-08-23
167012,B,2019-08-28
166867,B,2019-08-22
166565,B,2019-08-08
